=== GC_1m_1789910262328.csv (5004 5m bars (aggregated), tickSize=0.1, stopRule=ZONE_SIZE_MULTIPLE(1.5), RR=1.0) ===
structure: 95 valid pullbacks, 66 TJL pairs formed, 26 flips
trades: 234 (65W / 163L / 6 flat)
totalR=-98.00 avgR=-0.42 maxDrawdownR=100.00

  2026-08-25T20:55:00Z LONG  entry=4715.90 stop=4713.80 target=4718.00 exit=4713.80 (stop) R=-1.00
  2026-08-25T23:30:00Z LONG  entry=4717.50 stop=4714.80 target=4720.20 exit=4714.80 (stop) R=-1.00
  2026-08-25T23:45:00Z SHORT entry=4712.90 stop=4715.60 target=4710.20 exit=4710.20 (target) R=1.00
  2026-08-26T01:55:00Z SHORT entry=4713.80 stop=4716.50 target=4711.10 exit=4716.50 (stop) R=-1.00
  2026-08-26T02:05:00Z SHORT entry=4717.40 stop=4720.10 target=4714.70 exit=4714.70 (target) R=1.00
  2026-08-26T02:15:00Z SHORT entry=4718.10 stop=4720.80 target=4715.40 exit=4715.40 (target) R=1.00
  2026-08-26T02:30:00Z SHORT entry=4720.10 stop=4722.80 target=4717.40 exit=4722.80 (stop) R=-1.00
  2026-08-26T02:40:00Z SHORT entry=4724.30 stop=4724.30 target=4724.30 exit=4724.30 (stop) R=0.00
  2026-08-26T02:50:00Z SHORT entry=4718.30 stop=4718.30 target=4718.30 exit=4718.30 (target) R=0.00
  2026-08-26T03:00:00Z SHORT entry=4714.00 stop=4716.70 target=4711.30 exit=4711.30 (target) R=1.00
  2026-08-26T11:55:00Z SHORT entry=4680.30 stop=4682.10 target=4678.50 exit=4682.10 (stop) R=-1.00
  2026-08-26T12:10:00Z LONG  entry=4681.20 stop=4679.40 target=4683.00 exit=4683.00 (target) R=1.00
  2026-08-26T12:20:00Z LONG  entry=4681.60 stop=4679.80 target=4683.40 exit=4683.40 (target) R=1.00
  2026-08-26T12:30:00Z LONG  entry=4678.80 stop=4677.90 target=4679.70 exit=4677.90 (stop) R=-1.00
  2026-08-26T12:40:00Z LONG  entry=4677.70 stop=4676.80 target=4678.60 exit=4676.80 (stop) R=-1.00
  2026-08-26T12:50:00Z LONG  entry=4671.60 stop=4670.70 target=4672.50 exit=4670.70 (stop) R=-1.00
  2026-08-26T13:00:00Z LONG  entry=4667.50 stop=4666.60 target=4668.40 exit=4666.60 (stop) R=-1.00
  2026-08-26T13:15:00Z SHORT entry=4667.00 stop=4670.00 target=4664.00 exit=4664.00 (target) R=1.00
  2026-08-26T13:30:00Z SHORT entry=4671.10 stop=4674.10 target=4668.10 exit=4668.10 (target) R=1.00
  2026-08-26T13:40:00Z SHORT entry=4675.00 stop=4678.00 target=4672.00 exit=4678.00 (stop) R=-1.00
  2026-08-26T13:55:00Z SHORT entry=4686.60 stop=4691.60 target=4681.60 exit=4681.60 (target) R=1.00
  2026-08-26T14:30:00Z SHORT entry=4674.20 stop=4677.20 target=4671.20 exit=4671.20 (target) R=1.00
  2026-08-26T14:45:00Z SHORT entry=4668.60 stop=4671.60 target=4665.60 exit=4665.60 (target) R=1.00
  2026-08-27T01:50:00Z SHORT entry=4689.00 stop=4689.80 target=4688.20 exit=4689.80 (stop) R=-1.00
  2026-08-27T02:30:00Z LONG  entry=4683.90 stop=4683.10 target=4684.70 exit=4683.10 (stop) R=-1.00
  2026-08-27T03:00:00Z LONG  entry=4689.00 stop=4688.20 target=4689.80 exit=4688.20 (stop) R=-1.00
  2026-08-27T03:10:00Z LONG  entry=4689.00 stop=4688.20 target=4689.80 exit=4688.20 (stop) R=-1.00
  2026-08-27T03:35:00Z LONG  entry=4686.90 stop=4686.10 target=4687.70 exit=4686.10 (stop) R=-1.00
  2026-08-27T05:30:00Z LONG  entry=4665.30 stop=4659.30 target=4671.30 exit=4659.30 (stop) R=-1.00
  2026-08-27T05:45:00Z LONG  entry=4660.40 stop=4654.40 target=4666.40 exit=4654.40 (stop) R=-1.00
  2026-08-27T06:10:00Z LONG  entry=4660.00 stop=4654.00 target=4666.00 exit=4654.00 (stop) R=-1.00
  2026-08-27T08:05:00Z LONG  entry=4657.00 stop=4651.00 target=4663.00 exit=4651.00 (stop) R=-1.00
  2026-08-27T09:35:00Z LONG  entry=4637.70 stop=4629.00 target=4646.40 exit=4629.00 (stop) R=-1.00
  2026-08-27T10:40:00Z SHORT entry=4638.60 stop=4647.30 target=4629.90 exit=4647.30 (stop) R=-1.00
  2026-08-27T12:35:00Z SHORT entry=4643.20 stop=4651.90 target=4634.50 exit=4634.50 (target) R=1.00
  2026-08-27T12:55:00Z SHORT entry=4639.30 stop=4648.00 target=4630.60 exit=4630.60 (target) R=1.00
  2026-08-27T14:30:00Z SHORT entry=4639.10 stop=4647.80 target=4630.40 exit=4647.80 (stop) R=-1.00
  2026-08-27T14:55:00Z SHORT entry=4645.10 stop=4653.80 target=4636.40 exit=4653.80 (stop) R=-1.00
  2026-08-28T00:25:00Z SHORT entry=4647.10 stop=4655.80 target=4638.40 exit=4638.40 (target) R=1.00
  2026-08-28T01:30:00Z SHORT entry=4640.40 stop=4649.10 target=4631.70 exit=4631.70 (target) R=1.00
  2026-08-28T02:30:00Z SHORT entry=4637.80 stop=4646.50 target=4629.10 exit=4629.10 (target) R=1.00
  2026-08-28T06:30:00Z SHORT entry=4636.20 stop=4644.90 target=4627.50 exit=4644.90 (stop) R=-1.00
  2026-08-28T11:40:00Z SHORT entry=4647.20 stop=4655.90 target=4638.50 exit=4655.90 (stop) R=-1.00
  2026-08-28T12:35:00Z SHORT entry=4641.50 stop=4650.20 target=4632.80 exit=4650.20 (stop) R=-1.00
  2026-08-28T14:00:00Z SHORT entry=4630.10 stop=4638.80 target=4621.40 exit=4621.40 (target) R=1.00
  2026-09-01T10:10:00Z SHORT entry=4426.80 stop=4429.40 target=4424.20 exit=4429.40 (stop) R=-1.00
  2026-09-01T10:45:00Z LONG  entry=4426.80 stop=4424.20 target=4429.40 exit=4424.20 (stop) R=-1.00
  2026-09-01T10:55:00Z LONG  entry=4426.90 stop=4424.30 target=4429.50 exit=4429.50 (target) R=1.00
  2026-09-01T11:05:00Z LONG  entry=4430.60 stop=4428.00 target=4433.20 exit=4428.00 (stop) R=-1.00
  2026-09-01T11:15:00Z LONG  entry=4424.70 stop=4422.10 target=4427.30 exit=4427.30 (target) R=1.00
  2026-09-01T11:25:00Z LONG  entry=4429.20 stop=4426.60 target=4431.80 exit=4431.80 (target) R=1.00
  2026-09-01T11:55:00Z LONG  entry=4422.90 stop=4420.30 target=4425.50 exit=4420.30 (stop) R=-1.00
  2026-09-01T12:05:00Z LONG  entry=4419.20 stop=4417.80 target=4420.60 exit=4417.80 (stop) R=-1.00
  2026-09-01T12:15:00Z LONG  entry=4419.50 stop=4418.10 target=4420.90 exit=4418.10 (stop) R=-1.00
  2026-09-01T12:25:00Z LONG  entry=4417.10 stop=4415.70 target=4418.50 exit=4415.70 (stop) R=-1.00
